year,name,filename
1862,Fruit-Blue,1862-Fruit-Blue.jpg
1862,Fruit,1862-Fruit.jpg
1862,Trellis-Green,1862-Trellis-Green.jpg
1862,Trellis,1862-Trellis.jpg
1866,St-James-Palace,1866-St-James-Palace.jpg
1872,Jasmine,1872-Jasmine.jpg
1872,Larkspur,1872-Larkspur.jpg
1873,Vine,1873-Vine.jpg
1875,Acanthus-Red,1875-Acanthus-Red.jpg
1875,MarigoldBlue,1875-Marigold-Blue.jpg
1875,Marigold,1875-Marigold.jpg
1875,Tulip,1875-Tulip.jpg
1876,Anemone,1876-Anemone.jpg
1876,Pimpernel,1876-Pimpernel.jpg
1876,Wreath,1876-Wreath.jpg
1877,Chrysanthemum,1877-Chrysanthemum.jpg
1877,Snakeshead,1877-Snakeshead.jpg
1883,May-Honeysuckle,1883-May-Honeysuckle.jpg
1883,Strawberry-Theif,1883-Strawberry-Theif.jpg
1884,Chintz-the-Wandle,1884-Chintz-the-Wandle.jpg
1884,Chintz-the-Wey,1884-Chintz-the-Wey.jpg
1884,Wild-Tulip-Yellow,1884-Wild-Tulip-Yellow.jpg
1884,Wild-Tulip,1884-Wild-Tulip.jpg
1887,Birds-Small,1887-Birds-Small.jpg
1887,Birds,1887-Birds.jpg
1887,Cherwell,1887-Cherwell.jpg
1887,Willow-Bough-Blue-Gold,1887-Willow-Bough-Blue-Gold.jpg
1887,Willow-Bough,1887-Willow-Bough.jpg
1888,Trent,1888-Trent.jpg
1890,Acanthus-Portiere,1890-Acanthus-Portiere.jpg
1890,Pink-and-Rose,1890-Pink-and-Rose.jpg
1892,Dearl-Blackthorn,1892-Dearl-Blackthorn.jpg
1883,Holland-Park-Carpet,1883-Holland-Park-Carpet.jpg
