object,orbits
Sun,MilkyWay
Mercury,Sun
Venus,Sun
Earth,Sun
Ceres,Sun
Mars,Sun
Jupiter,Sun
Saturn,Sun
Uranus,Sun
Neptune,Sun
Pluto,Sun
Moon,Earth
Phobos,Mars
Deimos,Mars
Io,Jupiter
Europa,Jupiter
Ganymede,Jupiter
Callisto,Jupiter
Mimas,Saturn
Enceladus,Saturn
Tethys,Saturn
Dione,Saturn
Rhea,Saturn
Titan,Saturn
Hyperion,Saturn
Iapetus,Saturn
Phoebe,Saturn
Charon,Pluto
Nix,Pluto
Hydra,Pluto
