abilen
alen
an
anski
anten
ast
atičen
ativen
av
can
cat
čkan
eč
el
en
enji
enten
er
eški
ev
even
evit
evnat
evski
ibilen
ičast
ičen
ikast
ikav
ilen
in
inski
it
iv
iven
j
ji
kast
ki
l
ljat
ljiv
n
nat
nji
oč
onalen
ionalen
ov
oven
ovit
ovnat
ovski
ozen
šen
ši
ski
ški
šnji
t
iran
iziran
čast
jast
ljen
jen
jev
jevski
jin
ul
al
il
ajoč
ujoč
ek
ni
či
eči
ok
aren
enčen
iv
atski
ijoč
otičen
at
etičen
janski
