ališče
alo
anje
avje
ca
ce
e
eca
ece
elo
enje
evje
evstvo
iče
ilišče
ilo
inje
išče
ivo
je
lišče
o
ovje
ovstvo
še
stvo
tje
tvo
jenje
ljenje
jevstvo
ičje
itje
utje
etje
