jan
a
ač
aj
ak
alec
alin
an
and
anec
ans
ant
ar
arij
aš
ast
at
atelj
ater
atik
ator
atorij
avec
avs
avt
avž
až
čan
ček
eat
ec
ejec
ek
elj
em
en
enič
enik
ent
er
et
etik
etum
evec
evnik
evt
ez
ež
iat
ic
ič
iček
ijan
il
ilec
in
inec
ir
ist
itelj
itor
iv
ivec
izem
ja
jač
jak
janec
kar
ko
ljaj
ma
man
nik
njak
ol
olin
on
onja
or
orij
ovec
ovič
ovnik
tek
tir
tor
torij
un
unec
ur
uš
evič
jevič
elec
atek
etek
itek
utek
jer
azem
ljan
ovljan
