ovati
ljavati
javati
avati
ljevati
jevati
evati
ivati
ljati
jati
izirati
irati
kati
tati
ati
ariti
niti
iti
oveti
iveti
aveti
jeti
eti
či
sti
uti
ti
aniti
eniti
initi
oniti
uniti
čati
šati
žati
sati
zati
reti
psti
bsti
