label;model;x0;ampli;fwhm;fwhm_l;fwhm_r;alpha
;Lorentzian;342.9150412043217;375.82154387665815;2.745553299964265;;;
Peak IV;Lorentzian;685.5052192267153;97.48617371259775;7.866597409051101;;;
Peak II;Lorentzian;487.68406444682586;28.16676204498586;62.925082044149065;;;
;Lorentzian;304.79314769728217;108.05075649067922;16.298714444041618;;;
;Lorentzian;270.11699999988537;25.642027760644982;64.2805661368292;;;
Peak I;Lorentzian;382.3498713219756;20.77570415261102;10.621718675679116;;;
Peak III;Lorentzian;618.5180893401689;39.44210122280188;13.015057036155863;;;
;Lorentzian;650.9904476664227;40.100531105727725;6.172489142469284;;;
;Lorentzian;446.24411892036005;43.922048067074066;130.49819972371145;;;
