a
ača
acija
ad
ada
al
ala
alka
anca
anja
anta
arica
arija
arka
arna
arnica
ata
atev
atika
av
ava
avica
aža
azen
ba
ca
cija
ela
enca
enka
enta
era
erija
esa
est
etina
ev
evina
ež
ezen
i
ica
ičica
icija
ičina
ična
ija
ilja
ilka
ina
inja
inka
iteta
itev
ja
jad
jarija
java
jera
jev
ka
le
lja
nica
nja
oba
oča
ost
ota
ovina
ovka
uha
ulja
ura
urija
uša
oza
aza
eza
iva
iza
eta
uta
arina
ika
ara
