,affyID,entrezID,ensemblID
0,221227_x_at,51805,ENSG00000132423
1,212345_s_at,64764,ENSG00000182158
2,218597_s_at,55847,ENSG00000122873
3,217140_s_at,7416,ENSG00000213585
4,209253_at,10174,ENSG00000120896
5,214404_x_at,25803,ENSG00000124664
6,219888_at,6676,ENSG00000061656
7,201225_s_at,10250,ENSG00000133226
8,202535_at,8772,ENSG00000168040
9,219499_at,55176,ENSG00000065665
10,203627_at,3480,ENSG00000140443
11,204087_s_at,8884,ENSG00000138074
12,205227_at,3556,ENSG00000196083
13,202388_at,5997,ENSG00000116741
14,204418_x_at,2946,ENSG00000213366
15,205607_s_at,57147,ENSG00000000457
16,218462_at,80135,ENSG00000117133
17,213417_at,6909,ENSG00000121068
18,205963_s_at,9093,ENSG00000276726
19,201804_x_at,1155,ENSG00000105254
20,212851_at,23142,ENSG00000109184
21,200618_at,3927,ENSG00000002834
22,210151_s_at,8444,ENSG00000143479
23,218271_s_at,55486,ENSG00000175193
24,217971_at,8649,ENSG00000109270
25,205811_at,11232,ENSG00000256525
26,201007_at,3032,ENSG00000138029
27,203512_at,27095,ENSG00000054116
28,220964_s_at,81876,ENSG00000174903
29,204849_at,10732,ENSG00000101190
30,209691_s_at,55715,ENSG00000125170
31,202362_at,5906,ENSG00000116473
32,212591_at,23029,ENSG00000188739
33,212770_at,7090,ENSG00000140332
34,203336_s_at,9270,ENSG00000119185
35,203127_s_at,9517,ENSG00000100596
36,210337_s_at,47,ENSG00000131473
37,218140_x_at,58477,ENSG00000144867
38,206066_s_at,5889,ENSG00000108384
39,218245_at,25987,ENSG00000182704
40,201589_at,8243,ENSG00000072501
41,218113_at,23670,ENSG00000135048
42,210695_s_at,51741,ENSG00000186153
43,201351_s_at,10730,ENSG00000136758
44,214274_s_at,30,ENSG00000060971
45,218068_s_at,79894,ENSG00000171161
46,213370_s_at,51460,ENSG00000163935
47,218916_at,79724,ENSG00000169957
48,218667_at,64219,ENSG00000181191
49,213152_s_at,10929,ENSG00000263465
50,220091_at,11182,ENSG00000281165
51,202908_at,7466,ENSG00000109501
52,203358_s_at,2146,ENSG00000106462
53,212403_at,89910,ENSG00000151148
54,204949_at,3385,ENSG00000076662
55,218086_at,56654,ENSG00000107281
56,208950_s_at,501,ENSG00000164904
57,213772_s_at,23062,ENSG00000103365
58,57703_at,205564,ENSG00000119231
59,201794_s_at,9887,ENSG00000116698
60,203709_at,5261,ENSG00000156873
61,205667_at,7486,ENSG00000165392
62,212955_s_at,5438,ENSG00000105258
63,201207_at,7126,ENSG00000109079
64,201548_s_at,10765,ENSG00000117139
65,212651_at,9886,ENSG00000072422
66,218064_s_at,26993,ENSG00000011243
67,212189_s_at,25839,ENSG00000103051
68,201555_at,4172,ENSG00000112118
69,218290_at,55111,ENSG00000104886
70,217870_s_at,51727,ENSG00000162368
71,203138_at,8520,ENSG00000292096
72,201503_at,10146,ENSG00000145907
73,213292_s_at,23161,ENSG00000071189
74,203154_s_at,10298,ENSG00000130669
75,201379_s_at,7165,ENSG00000101150
76,204514_at,1802,ENSG00000132768
77,217872_at,55011,ENSG00000104872
78,201250_s_at,6513,ENSG00000117394
79,217789_at,58533,ENSG00000129515
80,201738_at,10289,ENSG00000114784
81,204656_at,6461,ENSG00000107338
82,221514_at,10813,ENSG00000156697
83,212051_at,147179,ENSG00000171475
84,218407_x_at,29937,ENSG00000117691
85,219581_at,80746,ENSG00000154743
86,218948_at,55278,ENSG00000130348
87,201011_at,6184,ENSG00000163902
88,204757_s_at,9854,ENSG00000172375
89,203007_x_at,10434,ENSG00000120992
90,206173_x_at,2553,ENSG00000104064
91,213531_s_at,22930,ENSG00000115839
92,204756_at,5607,ENSG00000137764
93,202635_s_at,5440,ENSG00000147669
94,209899_s_at,22827,ENSG00000179950
95,209724_s_at,7541,ENSG00000198081
96,210788_s_at,51635,ENSG00000100612
97,202093_s_at,54623,ENSG00000006712
98,212614_at,84159,ENSG00000150347
99,207515_s_at,9533,ENSG00000171453
100,201614_s_at,8607,ENSG00000175792
101,210241_s_at,11257,ENSG00000182165
102,207163_s_at,207,ENSG00000142208
103,219974_x_at,55862,ENSG00000093144
104,215980_s_at,3508,ENSG00000132740
105,202318_s_at,26054,ENSG00000112701
106,212500_at,84890,ENSG00000181915
107,203447_at,5711,ENSG00000095261
108,202735_at,10682,ENSG00000147155
109,218584_at,79600,ENSG00000204852
110,214259_s_at,8574,ENSG00000053371
111,207620_s_at,8573,ENSG00000147044
112,203338_at,5529,ENSG00000154001
113,203171_s_at,23378,ENSG00000132275
114,203726_s_at,3909,ENSG00000053747
115,212830_at,1955,ENSG00000106780
116,201170_s_at,8553,ENSG00000134107
117,219459_at,55703,ENSG00000013503
118,211715_s_at,622,ENSG00000275544
119,215000_s_at,9637,ENSG00000171055
120,202491_s_at,8518,ENSG00000070061
121,201811_x_at,9467,ENSG00000131370
122,202187_s_at,5525,ENSG00000066027
123,205120_s_at,6443,ENSG00000163069
124,203442_x_at,256364,ENSG00000149499
125,217956_s_at,58478,ENSG00000145293
126,202095_s_at,332,ENSG00000089685
127,203291_at,4850,ENSG00000080802
128,200843_s_at,2058,ENSG00000136628
129,203596_s_at,24138,ENSG00000152778
130,212723_at,23210,ENSG00000070495
131,121_at,7849,ENSG00000125618
132,204497_at,115,ENSG00000162104
133,218826_at,54733,ENSG00000110660
134,218910_at,55129,ENSG00000160746
135,212140_at,23244,ENSG00000121892
136,217934_x_at,10273,ENSG00000103266
137,204772_s_at,7270,ENSG00000125482
138,203646_at,2230,ENSG00000137714
139,202361_at,9632,ENSG00000176986
140,209364_at,572,ENSG00000002330
141,200670_at,7494,ENSG00000100219
142,201158_at,4836,ENSG00000136448
143,219485_s_at,5716,ENSG00000101843
144,202109_at,23647,ENSG00000132254
145,203884_s_at,22841,ENSG00000107560
146,202945_at,2356,ENSG00000136877
147,202811_at,10617,ENSG00000124356
148,202772_at,3155,ENSG00000117305
149,206050_s_at,6050,ENSG00000276230
150,221492_s_at,64422,ENSG00000144848
151,202862_at,2184,ENSG00000103876
152,204755_x_at,3131,ENSG00000108924
153,201136_at,5355,ENSG00000102007
154,209939_x_at,8837,ENSG00000003402
155,201416_at,6659,ENSG00000124766
156,218595_s_at,55127,ENSG00000119285
157,204106_at,7016,ENSG00000107140
