abilno
alno
ano
ansko
antno
asto
atično
ativno
avo
cano
cato
čkano
eč
eče
če
elo
o
no
enje
entno
eško
evno
evito
evnato
evsko
ibilno
ičasto
ično
ikasto
ikavo
ilno
inje
insko
ito
ivo
ivno
e
je
kasto
ko
ljato
ljivo
nato
nje
oč
oče
onalno
ionalno
ovno
ovito
ovnato
ovsko
ozno
šno
ši
sko
ško
šnje
irano
izirano
často
jasto
ljeno
jeno
ulo
alo
ilo
ajoč
ujoč
ajoče
ujoče
ci
arno
enčno
atsko
ijoč
ijoče
otično
ato
etično
jansko
